,Quarter,Tm,Detail,DEN,NWE
0,1.0,Broncos,David Treadwell 35 yard field goal,3,0
1,2.0,Patriots,Jason Staurovsky 20 yard field goal,3,3
2,2.0,Broncos,David Treadwell 18 yard field goal,6,3
3,4.0,Patriots,Jason Staurovsky 17 yard field goal,6,6
4,4.0,Broncos,David Treadwell 34 yard field goal,9,6
