,Quarter,Time,Tm,Detail,PIT,CAR
0,1.0,,Panthers,Wesley Walls 9 yard pass from Kerry Collins (John Kasay kick),0,7
1,2.0,,Panthers,"Safety, Tomczak intentional grounding in end zone",0,9
2,2.0,,Steelers,Andre Hastings 6 yard pass from Mike Tomczak (Norm Johnson kick),7,9
3,2.0,7:22,Steelers,Kordell Stewart 80 yard rush (Norm Johnson kick),14,9
4,3.0,7:22,Panthers,John Kasay 35 yard field goal,14,12
5,3.0,7:22,Panthers,John Kasay 30 yard field goal,14,15
6,4.0,7:22,Panthers,John Kasay 29 yard field goal,14,18
