,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,10:09,Raiders,Sebastian Janikowski 25 yard field goal,0,3
1,1.0,5:21,Chiefs,Eddie Kennison 6 yard pass from Trent Green (Lawrence Tynes kick),7,3
2,1.0,1:13,Chiefs,Lawrence Tynes 29 yard field goal,10,3
3,2.0,11:43,Raiders,Sebastian Janikowski 37 yard field goal,10,6
4,2.0,0:40,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),17,6
5,3.0,8:49,Raiders,Sebastian Janikowski 53 yard field goal,17,9
6,4.0,13:40,Chiefs,Lawrence Tynes 28 yard field goal,20,9
