,Quarter,Tm,Detail,SDG,IND
0,2.0,Chargers,Chris Bahr 33 yard field goal,3,0
1,2.0,Colts,Dean Biasucci 22 yard field goal,3,3
2,4.0,Chargers,Chris Bahr 38 yard field goal,6,3
3,4.0,Colts,Bill Brooks 25 yard pass from Jack Trudeau (Dean Biasucci kick),6,10
