,Quarter,Tm,Detail,DUL,GNB
0,2.0,Packers,Verne Lewellen 5 yard rush (Red Dunn kick),0,7
1,4.0,Packers,Red Dunn 11 yard pass from Curly Lambeau (Red Dunn kick),0,14
2,4.0,Packers,Lavvie Dilweg 25 yard interception return,0,20
