,Quarter,Time,Tm,Detail,SEA,ARI
0,1.0,8:55,Seahawks,Rian Lindell 23 yard field goal,3,0
1,1.0,6:04,Cardinals,Bill Gramatica 40 yard field goal,3,3
2,1.0,3:16,Seahawks,Shaun Alexander 5 yard rush (Rian Lindell kick),10,3
3,2.0,10:47,Seahawks,Rian Lindell 30 yard field goal,13,3
4,2.0,8:38,Seahawks,Ryan Hannam 16 yard pass from Matt Hasselbeck (Rian Lindell kick),20,3
5,2.0,3:50,Cardinals,Bill Gramatica 27 yard field goal,20,6
6,2.0,0:16,Seahawks,Shaun Alexander 1 yard rush (Rian Lindell kick),27,6
