,Quarter,Tm,Detail,WAS,DAL
0,1.0,Redskins,Mark Moseley 24 yard field goal,3,0
1,1.0,Redskins,Joe Theismann 1 yard rush (Mark Moseley kick),10,0
2,2.0,Redskins,Benny Malone 55 yard pass from Joe Theismann (Mark Moseley kick),17,0
3,2.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),17,7
4,2.0,Cowboys,Preston Pearson 26 yard pass from Roger Staubach (Rafael Septien kick),17,14
5,3.0,Cowboys,Robert Newhouse 2 yard rush (Rafael Septien kick),17,21
6,4.0,Redskins,Mark Moseley 24 yard field goal,20,21
7,4.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),27,21
8,4.0,Redskins,John Riggins 66 yard rush (Mark Moseley kick),34,21
9,4.0,Cowboys,Ron Springs 26 yard pass from Roger Staubach (Rafael Septien kick),34,28
10,4.0,Cowboys,Tony Hill 8 yard pass from Roger Staubach (Rafael Septien kick),34,35
