,Quarter,Tm,Detail,PHI,STL
0,1.0,Cardinals,Jim Bakken 45 yard field goal,0,3
1,1.0,Cardinals,Jim Bakken 42 yard field goal,0,6
2,2.0,Eagles,Lee Bouggess 1 yard rush (Mark Moseley kick),7,6
3,3.0,Cardinals,John Gilliam 23 yard pass from Jim Hart (Jim Bakken kick),7,13
4,3.0,Cardinals,Dave Williams 44 yard pass from Jim Hart (Jim Bakken kick),7,20
5,3.0,Eagles,Harold Jackson 18 yard pass from Norm Snead (Mark Moseley kick),14,20
6,3.0,Cardinals,Jim Bakken 31 yard field goal,14,23
