,Quarter,Tm,Detail,PHI,PIT
0,1,Eagles,Steve Van Buren 15 yard pass from Tommy Thompson (Cliff Patton kick),7,0
1,2,Eagles,Jack Ferrante 28 yard pass from Tommy Thompson (Cliff Patton kick),14,0
2,3,Eagles,Bosh Pritchard 79 yard punt return (Cliff Patton kick),21,0
