,Quarter,Tm,Detail,KAN,RAI
0,1.0,Chiefs,Barry Word 1 yard rush (Nick Lowery kick),7,0
1,1.0,Raiders,Tim Brown 26 yard pass from Todd Marinovich (Jeff Jaeger kick),7,7
2,2.0,Chiefs,J.J. Birden 57 yard pass from Steve DeBerg (Nick Lowery kick),14,7
3,2.0,Chiefs,Nick Lowery 33 yard field goal,17,7
4,4.0,Chiefs,Nick Lowery 25 yard field goal,20,7
5,4.0,Raiders,Ethan Horton 7 yard pass from Todd Marinovich (Jeff Jaeger kick),20,14
6,4.0,Chiefs,J.J. Birden 53 yard pass from Steve DeBerg (Nick Lowery kick),27,14
7,4.0,Raiders,Tim Brown 23 yard pass from Todd Marinovich (Jeff Jaeger kick),27,21
