,Quarter,Tm,Detail,KAN,SEA
0,1.0,Chiefs,Nick Lowery 42 yard field goal,3,0
1,2.0,Seahawks,Norm Johnson 35 yard field goal,3,3
2,2.0,Seahawks,Norm Johnson 34 yard field goal,3,6
3,2.0,Seahawks,Daryl Turner 6 yard pass from Dave Krieg (Norm Johnson kick),3,13
4,3.0,Chiefs,Carlos Carson 70 yard pass from Todd Blackledge (Nick Lowery kick),10,13
5,3.0,Seahawks,Norm Johnson 53 yard field goal,10,16
6,3.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),10,23
7,4.0,Chiefs,Jeff Smith 1 yard rush (Nick Lowery kick),17,23
