,Quarter,Tm,Detail,GNB,RAC
0,2,Packers,Charlie Mathys 55 yard pass from Curly Lambeau (Cub Buck kick),7,0
1,4,Packers,Eddie Usher 1 yard rush (Cub Buck kick),14,0
