,Quarter,Tm,Detail,DEN,SDG
0,1.0,Broncos,Al Denson 6 yard pass from Steve Tensi (Bobby Howfield kick),7,0
1,1.0,Chargers,Dickie Post 7 yard rush (Dennis Partee kick),7,7
2,1.0,Chargers,Dickie Post 1 yard rush (Dennis Partee kick),7,14
3,2.0,Broncos,Al Denson 38 yard pass from Steve Tensi (Bobby Howfield kick),14,14
4,2.0,Chargers,Dennis Partee 33 yard field goal,14,17
5,2.0,Broncos,Bobby Howfield 22 yard field goal,17,17
6,3.0,Chargers,Marty Domres 10 yard rush (Dennis Partee kick),17,24
7,3.0,Chargers,Dickie Post 10 yard rush (Dennis Partee kick),17,31
8,3.0,Broncos,John Embree 10 yard pass from Steve Tensi (Bobby Howfield kick),24,31
9,3.0,Chargers,Marty Domres 8 yard rush (Dennis Partee kick),24,38
10,4.0,Chargers,Gene Foster 14 yard pass from Marty Domres (Dennis Partee kick),24,45
