,Quarter,Time,Tm,Detail,CAR,JAX
0,1.0,3:30,Jaguars,Reggie Williams 22 yard pass from David Garrard (Josh Scobee kick),0,7
1,2.0,11:28,Panthers,John Kasay 49 yard field goal,3,7
2,2.0,5:33,Jaguars,Josh Scobee 21 yard field goal,3,10
3,2.0,1:03,Panthers,John Kasay 39 yard field goal,6,10
4,3.0,11:28,Jaguars,Matt Jones 6 yard pass from David Garrard (Josh Scobee kick),6,17
5,3.0,1:21,Jaguars,Josh Scobee 20 yard field goal,6,20
6,4.0,14:50,Jaguars,Clint Ingram 39 yard interception return (Josh Scobee kick),6,27
7,4.0,9:48,Jaguars,Fred Taylor 80 yard rush (Josh Scobee kick),6,34
8,4.0,3:15,Jaguars,Josh Scobee 33 yard field goal,6,37
