,Quarter,Tm,Detail,SDG,RAI
0,1.0,Chargers,Bobby Duckworth 40 yard pass from Ed Luther (Rolf Benirschke kick),7,0
1,1.0,Raiders,Marcus Allen 8 yard rush (Chris Bahr kick),7,7
2,2.0,Raiders,Chris Bahr 21 yard field goal,7,10
3,2.0,Raiders,Chris Bahr 32 yard field goal,7,13
4,3.0,Raiders,Chris Bahr 28 yard field goal,7,16
5,3.0,Chargers,Chuck Muncie 2 yard rush (Rolf Benirschke kick),14,16
6,4.0,Raiders,Cliff Branch 4 yard pass from Jim Plunkett (Chris Bahr kick),14,23
7,4.0,Raiders,Marcus Allen 5 yard rush (Chris Bahr kick),14,30
