,Quarter,Tm,Detail,PHI,CHI
0,1.0,Bears,Cecil Turner 96 yard kickoff return (Mac Percival kick),0,7
1,1.0,Eagles,Gary Ballman 7 yard pass from Norm Snead,6,7
2,2.0,Bears,Mac Percival 17 yard field goal,6,10
3,2.0,Eagles,Mark Moseley 42 yard field goal,9,10
4,2.0,Bears,Dick Gordon 12 yard pass from Ronnie Bull (Mac Percival kick),9,17
5,4.0,Eagles,Lee Bouggess 10 yard rush (Mark Moseley kick),16,17
6,4.0,Bears,Mac Percival 36 yard field goal,16,20
