,Quarter,Tm,Detail,SFO,MIN
0,2.0,49ers,Ray Wersching 37 yard field goal,3,0
1,2.0,49ers,Ray Wersching 22 yard field goal,6,0
2,3.0,49ers,Ray Wersching 44 yard field goal,9,0
3,3.0,Vikings,Ahmad Rashad 52 yard pass from Tommy Kramer (Rick Danmeier kick),9,7
4,3.0,Vikings,Ahmad Rashad 32 yard pass from Tommy Kramer (Rick Danmeier kick),9,14
5,4.0,Vikings,Ahmad Rashad 8 yard pass from Tommy Kramer (Rick Danmeier kick),9,21
6,4.0,49ers,Freddie Solomon 44 yard pass from Steve DeBerg (Ray Wersching kick),16,21
7,4.0,49ers,Lenvil Elliott 4 yard rush,22,21
8,4.0,Vikings,Ahmad Rashad 25 yard pass from Tommy Kramer (Rick Danmeier kick),22,28
