,Quarter,Tm,Detail,DET,STL
0,1.0,Cardinals,Doug Marsh 6 yard pass from Jim Hart (Neil O'Donoghue kick),0,7
1,2.0,Lions,Eddie Murray 40 yard field goal,3,7
2,2.0,Cardinals,Wayne Morris 3 yard pass from Jim Hart (Neil O'Donoghue kick),3,14
3,2.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),10,14
4,2.0,Lions,Eddie Murray 24 yard field goal,13,14
5,3.0,Lions,Eddie Murray 26 yard field goal,16,14
6,3.0,Lions,Leonard Thompson 37 yard pass from Gary Danielson (Eddie Murray kick),23,14
7,4.0,Cardinals,Neil O'Donoghue 25 yard field goal,23,17
8,4.0,Cardinals,Roy Green 57 yard punt return (Neil O'Donoghue kick),23,24
