,Quarter,Tm,Detail,NWE,MIA
0,2.0,Dolphins,Mark Duper 35 yard pass from Jim Jensen (Uwe von Schamann kick),0,7
1,2.0,Patriots,Lin Dawson 9 yard pass from Steve Grogan (Tony Franklin kick),7,7
2,3.0,Dolphins,Mark Clayton 38 yard pass from Dan Marino (Uwe von Schamann kick),7,14
3,3.0,Dolphins,Mark Clayton 15 yard pass from Dan Marino (Uwe von Schamann kick),7,21
4,4.0,Dolphins,William Judson 60 yard interception return (Uwe von Schamann kick),7,28
