,Quarter,Time,Tm,Detail,CHI,NYG
0,1.0,8:03,Giants,Tiki Barber 3 yard rush (Steve Christie kick),0,7
1,1.0,3:54,Giants,Tiki Barber 1 yard rush (Steve Christie kick),0,14
2,2.0,5:13,Bears,Bernard Berrian 35 yard pass from Craig Krenzel (Paul Edinger kick),7,14
3,2.0,2:35,Bears,Anthony Thomas 4 yard rush (Paul Edinger kick),14,14
4,2.0,1:09,Bears,Paul Edinger 22 yard field goal,17,14
5,2.0,0:00,Bears,Paul Edinger 21 yard field goal,20,14
6,4.0,7:44,Bears,Anthony Thomas 41 yard rush (Craig Krenzel run),28,14
7,4.0,1:56,Giants,Jeremy Shockey 1 yard pass from Kurt Warner (Steve Christie kick),28,21
