,Quarter,Tm,Detail,NYJ,SEA
0,1.0,Seahawks,Sam McCullum 6 yard pass from Dave Krieg,0,6
1,2.0,Jets,Scott Dierking 11 yard pass from Richard Todd,6,6
2,2.0,Seahawks,Theotis Brown 21 yard rush (Wilson Alvarez kick),6,13
3,2.0,Jets,Pat Leahy 26 yard field goal,9,13
4,3.0,Jets,Scott Dierking 15 yard rush (Pat Leahy kick),16,13
5,3.0,Seahawks,Dave Krieg 1 yard rush (Wilson Alvarez kick),16,20
6,4.0,Jets,Kevin Long 1 yard pass from Richard Todd (Pat Leahy kick),23,20
7,4.0,Seahawks,Steve Largent 57 yard pass from Dave Krieg (Wilson Alvarez kick),23,27
