,Quarter,Tm,Detail,RAM,PHI
0,1.0,Eagles,Paul McFadden 22 yard field goal,0,3
1,1.0,Eagles,John Spagnola 15 yard pass from Ron Jaworski (Paul McFadden kick),0,10
2,2.0,Eagles,Mike Quick 55 yard pass from Keith Byars (Paul McFadden kick),0,17
3,2.0,Eagles,Paul McFadden 41 yard field goal,0,20
4,2.0,Eagles,Kenny Jackson 27 yard pass from Ron Jaworski (Paul McFadden kick),0,27
5,3.0,Eagles,Junior Tautalatasi 16 yard pass from Ron Jaworski (Paul McFadden kick),0,34
6,3.0,Rams,Ron Brown 15 yard pass from Steve Dils,6,34
7,4.0,Rams,Bobby Duckworth 28 yard pass from Steve Dils (Mike Lansford kick),13,34
8,4.0,Rams,Mike Young 5 yard pass from Steve Dils (Mike Lansford kick),20,34
