,Quarter,Time,Tm,Detail,ARI,SEA
0,1.0,8:55,Cardinals,Jaron Brown 25 yard pass from Drew Stanton (Phil Dawson kick),7,0
1,1.0,8:43,Seahawks,Tyler Lockett 99 yard kickoff return (Blair Walsh kick),7,7
2,1.0,7:10,Cardinals,Phil Dawson 49 yard field goal,10,7
3,2.0,12:19,Cardinals,Elijhaa Penny 4 yard rush (Phil Dawson kick),17,7
4,2.0,0:58,Cardinals,Phil Dawson 46 yard field goal,20,7
5,3.0,8:59,Seahawks,Doug Baldwin 18 yard pass from Russell Wilson (Blair Walsh kick),20,14
6,3.0,4:22,Cardinals,Phil Dawson 53 yard field goal,23,14
7,4.0,13:04,Seahawks,Blair Walsh 49 yard field goal,23,17
8,4.0,10:24,Seahawks,Doug Baldwin 29 yard pass from Russell Wilson (Blair Walsh kick),23,24
9,4.0,2:21,Cardinals,Phil Dawson 42 yard field goal,26,24
