,Quarter,Time,Tm,Detail,TAM,CAR
0,1.0,1:28,Buccaneers,Connor Barth 39 yard field goal,3,0
1,2.0,12:35,Panthers,Cam Newton 1 yard rush (Graham Gano kick),3,7
2,2.0,9:29,Panthers,Graham Gano 49 yard field goal,3,10
3,2.0,4:17,Panthers,Cameron Artis-Payne 11 yard rush (Graham Gano kick),3,17
4,2.0,1:52,Panthers,Jerricho Cotchery 31 yard pass from Cam Newton (Graham Gano kick),3,24
5,3.0,9:18,Panthers,Cam Newton 1 yard rush (Graham Gano kick),3,31
6,3.0,4:45,Buccaneers,Jameis Winston 4 yard rush (Connor Barth kick),10,31
7,4.0,7:22,Panthers,Devin Funchess 16 yard pass from Cam Newton (Graham Gano kick),10,38
