,Quarter,Time,Tm,Detail,BAL,CLE
0,1.0,8:46,Ravens,Justin Tucker 31 yard field goal,3,0
1,2.0,8:12,Browns,Duke Johnson 12 yard rush (Zane Gonzalez kick),3,7
2,2.0,3:01,Ravens,Joe Flacco 2 yard rush (Justin Tucker kick),10,7
3,2.0,0:59,Ravens,Ben Watson 33 yard pass from Joe Flacco (Justin Tucker kick),17,7
4,2.0,0:00,Browns,Zane Gonzalez 45 yard field goal,17,10
5,3.0,7:06,Ravens,Brandon Williams 1 yard fumble return (Justin Tucker kick),24,10
6,3.0,0:04,Ravens,Justin Tucker 43 yard field goal,27,10
