,Quarter,Tm,Detail,DET,CHI
0,2.0,Bears,Kevin Butler 35 yard field goal,0,3
1,2.0,Lions,Eddie Murray 25 yard field goal,3,3
2,3.0,Lions,Eddie Murray 44 yard field goal,6,3
3,3.0,Bears,Jim Harbaugh 4 yard rush (Kevin Butler kick),6,10
4,4.0,Lions,Garry James 1 yard rush,12,10
5,4.0,Bears,Kevin Butler 32 yard field goal,12,13
