,Quarter,Tm,Detail,CIN,DET
0,1.0,Lions,Mel Farr 5 yard pass from Bill Munson (Errol Mann kick),0,7
1,2.0,Lions,Charlie Sanders 1 yard pass from Bill Munson (Errol Mann kick),0,14
2,2.0,Lions,Errol Mann 50 yard field goal,0,17
3,2.0,Lions,Mel Farr 1 yard rush (Errol Mann kick),0,24
4,2.0,Lions,Lem Barney 61 yard punt return (Errol Mann kick),0,31
5,4.0,Lions,Greg Landry 1 yard rush (Errol Mann kick),0,38
6,4.0,Bengals,Horst Muhlmann 35 yard field goal,3,38
