,Quarter,Time,Tm,Detail,DET,NYG
0,1.0,4:00,Lions,Marvin Jones 27 yard pass from Matthew Stafford (Matt Prater kick),7,0
1,2.0,14:55,Giants,Evan Engram 18 yard pass from Eli Manning (Aldrick Rosas kick),7,7
2,2.0,8:43,Lions,Eric Ebron 7 yard pass from Matthew Stafford (Matt Prater kick),14,7
3,2.0,0:30,Lions,Matt Prater 56 yard field goal,17,7
4,3.0,4:58,Giants,Aldrick Rosas 25 yard field goal,17,10
5,4.0,12:56,Lions,Jamal Agnew 88 yard punt return (Matt Prater kick),24,10
