,Quarter,Tm,Detail,FRN,GNB
0,1.0,Packers,Harry O'Boyle 35 yard field goal,0,3
1,1.0,Yellow Jackets,Charley Rogers 35 yard pass from Ken Mercer,6,3
2,1.0,Yellow Jackets,Ken Mercer 2 yard rush,12,3
3,1.0,Yellow Jackets,Ken Mercer 8 yard pass from Wally Diehl (Ed Weir kick),19,3
4,1.0,Packers,Verne Lewellen 24 yard pass from Curly Lambeau,19,9
