,Quarter,Tm,Detail,BAL,NWE
0,1.0,Patriots,Andy Johnson 1 yard rush,0,6
1,2.0,Colts,Don McCauley 3 yard rush (Toni Linhart kick),7,6
2,2.0,Patriots,Stanley Morgan 62 yard pass from Steve Grogan (John Smith kick),7,13
3,4.0,Colts,Roger Carr 54 yard pass from Joe Washington (Toni Linhart kick),14,13
4,4.0,Colts,Joe Washington 23 yard pass from Bill Troup,20,13
5,4.0,Colts,Roger Carr 67 yard pass from Bill Troup (Toni Linhart kick),27,13
6,4.0,Patriots,Steve Grogan 4 yard rush (John Smith kick),27,20
7,4.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),27,27
8,4.0,Colts,Joe Washington 90 yard kickoff return (Toni Linhart kick),34,27
