,Quarter,Time,Tm,Detail,PHI,DAL
0,1.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),0,7
1,1.0,,Eagles,Ricky Watters 5 yard rush (Gary Anderson kick),7,7
2,2.0,,Cowboys,Chris Boniol 19 yard field goal,7,10
3,2.0,,Eagles,Ty Detmer 6 yard rush (Gary Anderson kick),14,10
4,3.0,,Cowboys,Chris Boniol 37 yard field goal,14,13
5,3.0,,Eagles,Irving Fryar 14 yard pass from Ty Detmer (Gary Anderson kick),21,13
6,4.0,,Cowboys,Emmitt Smith 7 yard rush (Eric Bjornson pass from Troy Aikman),21,21
7,4.0,,Eagles,Gary Anderson 30 yard field goal,24,21
8,4.0,0:15,Eagles,Troy Vincent 90 yard touchdown on a lateral (Gary Anderson kick),31,21
