,Quarter,Tm,Detail,PIT,RAM
0,3.0,Steelers,Lynn Swann 14 yard pass from Terry Bradshaw (Roy Gerela kick),7,0
1,3.0,Rams,Frank Corral 37 yard field goal,7,3
2,4.0,Rams,Willie Miller 10 yard pass from Pat Haden (Frank Corral kick),7,10
