,Quarter,Time,Tm,Detail,NWE,NYJ
0,1.0,,Jets,Jeff Graham 26 yard pass from Frank Reich (Nick Lowery kick),0,7
1,2.0,,Jets,Adrian Murrell 1 yard rush (Nick Lowery kick),0,14
2,2.0,,Jets,Adrian Murrell 1 yard rush (Nick Lowery kick),0,21
3,2.0,,Patriots,Terry Glenn 26 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,21
4,3.0,,Patriots,Curtis Martin 1 yard rush (Adam Vinatieri kick),14,21
5,3.0,,Patriots,Adam Vinatieri 30 yard field goal,17,21
6,3.0,,Jets,Nick Lowery 26 yard field goal,17,24
7,4.0,,Patriots,Ben Coates 17 yard pass from Drew Bledsoe (Adam Vinatieri kick),24,24
8,4.0,,Jets,Nick Lowery 32 yard field goal,24,27
9,4.0,,Patriots,Keith Byars 2 yard pass from Drew Bledsoe (Adam Vinatieri kick),31,27
