,Quarter,Time,Tm,Detail,IND,DEN
0,1.0,8:17,Colts,Adam Vinatieri 48 yard field goal,3,0
1,1.0,5:30,Broncos,Brandon McManus 23 yard field goal,3,3
2,2.0,11:41,Broncos,C.J. Anderson 4 yard rush (Brandon McManus kick),3,10
3,2.0,2:43,Colts,Adam Vinatieri 52 yard field goal,6,10
4,2.0,0:05,Broncos,Brandon McManus 43 yard field goal,6,13
5,3.0,8:06,Colts,Robert Turbin 5 yard rush (Adam Vinatieri kick),13,13
6,3.0,1:09,Broncos,Brandon McManus 33 yard field goal,13,16
7,4.0,13:52,Broncos,Aqib Talib 46 yard interception return (Brandon McManus kick),13,23
8,4.0,4:02,Colts,Frank Gore 7 yard pass from Andrew Luck (Adam Vinatieri kick),20,23
9,4.0,1:51,Broncos,Brandon McManus 35 yard field goal,20,26
10,4.0,1:42,Broncos,Shane Ray 15 yard defensive fumble return (Trevor Siemian pass from Demaryius Thomas),20,34
