,Quarter,Tm,Detail,GNB,WAS
0,2.0,Packers,Ted Fritsch 1 yard rush (Ted Fritsch kick),7,0
1,3.0,Packers,Ted Fritsch 3 yard rush,13,0
2,3.0,Redskins,Steve Bagarus 6 yard pass from Jim Youel (Dick Poillon kick),13,7
3,4.0,Packers,Ted Fritsch 14 yard rush (Ted Fritsch kick),20,7
