,Quarter,Time,Tm,Detail,CAR,SFO
0,1.0,,49ers,Gary Anderson 28 yard field goal,0,3
1,2.0,2:48,49ers,Steve Young 1 yard rush (Gary Anderson kick),0,10
2,2.0,2:48,49ers,William Floyd 44 yard pass from Steve Young (Gary Anderson kick),0,17
3,2.0,2:48,Panthers,John Kasay 46 yard field goal,3,17
4,2.0,2:48,Panthers,John Kasay 27 yard field goal,6,17
5,3.0,15:00,49ers,Terry Kirby 101 yard kickoff return (Gary Anderson kick),6,24
6,3.0,15:00,Panthers,Fred Lane 4 yard rush (John Kasay kick),13,24
7,3.0,15:00,Panthers,Wesley Walls 5 yard pass from Kerry Collins (run failed),19,24
8,4.0,15:00,49ers,Gary Anderson 43 yard field goal,19,27
