,Quarter,Tm,Detail,BAL,DET
0,1.0,Colts,Jim Mutscheller 15 yard pass from Johnny Unitas (Bert Rechichar kick),7,0
1,2.0,Lions,Jim Martin 47 yard field goal,7,3
2,2.0,Colts,Lenny Moore 72 yard pass from Johnny Unitas (Bert Rechichar kick),14,3
3,2.0,Colts,Jim Mutscheller 52 yard pass from Johnny Unitas (Bert Rechichar kick),21,3
4,3.0,Colts,Lenny Moore 4 yard pass from Johnny Unitas,27,3
5,3.0,Lions,Steve Junker 14 yard pass from Tobin Rote (Bobby Layne kick),27,10
6,4.0,Lions,Howard Cassady 26 yard pass from Bobby Layne (Bobby Layne kick),27,17
7,4.0,Lions,John Henry Johnson 1 yard rush (Bobby Layne kick),27,24
8,4.0,Lions,Howard Cassady 29 yard pass from Bobby Layne (Bobby Layne kick),27,31
