,Quarter,Time,Tm,Detail,TAM,NYG
0,1.0,11:42,Giants,Saquon Barkley 6 yard pass from Eli Manning (Aldrick Rosas kick),0,7
1,2.0,13:37,Giants,Saquon Barkley 5 yard rush (Aldrick Rosas kick),0,14
2,2.0,4:56,Buccaneers,Ryan Fitzpatrick 1 yard rush (Cairo Santos kick),7,14
3,3.0,14:13,Giants,Alec Ogletree 15 yard interception return (Aldrick Rosas kick),7,21
4,3.0,7:04,Giants,Aldrick Rosas 52 yard field goal,7,24
5,3.0,1:32,Buccaneers,Mike Evans fumble recovery in end zone (Cairo Santos kick),14,24
6,4.0,13:04,Giants,Odell Beckham Jr. 8 yard pass from Eli Manning (Aldrick Rosas kick),14,31
7,4.0,9:47,Buccaneers,Peyton Barber 5 yard rush (Cairo Santos kick),21,31
8,4.0,5:11,Buccaneers,Adam Humphries 8 yard pass from Jameis Winston (Cairo Santos kick),28,31
9,4.0,3:52,Giants,Saquon Barkley 2 yard rush (Aldrick Rosas kick),28,38
10,4.0,2:22,Buccaneers,Mike Evans 41 yard pass from Jameis Winston (Cairo Santos kick),35,38
