,Quarter,Tm,Detail,RAM,NYG
0,2.0,Rams,Tony Zendejas 29 yard field goal,3,0
1,2.0,Giants,Matt Bahr 46 yard field goal,3,3
2,2.0,Rams,Robert Delpino 1 yard rush (Tony Zendejas kick),10,3
3,2.0,Giants,Matt Bahr 40 yard field goal,10,6
4,3.0,Rams,Tony Zendejas 50 yard field goal,13,6
5,4.0,Rams,Tony Zendejas 32 yard field goal,16,6
6,4.0,Rams,Tony Zendejas 33 yard field goal,19,6
7,4.0,Giants,Dave Meggett 1 yard pass from Jeff Hostetler (Matt Bahr kick),19,13
