,Quarter,Time,Tm,Detail,CHI,DET
0,1.0,,Bears,Raymont Harris 2 yard rush (Jeff Jaeger kick),7,0
1,1.0,5:00,Bears,Ricky Proehl 78 yard pass from Erik Kramer (Jeff Jaeger kick),14,0
2,1.0,5:00,Lions,Jason Hanson 40 yard field goal,14,3
3,2.0,5:00,Bears,Jeff Jaeger 52 yard field goal,17,3
4,2.0,5:00,Lions,Herman Moore 8 yard pass from Scott Mitchell (Jason Hanson kick),17,10
5,2.0,5:00,Bears,Jeff Jaeger 32 yard field goal,20,10
6,2.0,5:00,Lions,Barry Sanders 40 yard rush (Jason Hanson kick),20,17
7,3.0,5:00,Lions,Jason Hanson 29 yard field goal,20,20
8,3.0,5:00,Lions,Johnnie Morton 50 yard pass from Scott Mitchell (Jason Hanson kick),20,27
9,3.0,5:00,Lions,Barry Sanders 25 yard rush (Jason Hanson kick),20,34
10,4.0,5:00,Lions,Barry Sanders 15 yard rush (Jason Hanson kick),20,41
11,4.0,5:00,Lions,Ron Rivers 13 yard rush (Jason Hanson kick),20,48
12,4.0,5:00,Lions,Tracy Scroggins 17 yard defensive fumble return (Jason Hanson kick),20,55
