,Quarter,Tm,Detail,MIA,BAL
0,1.0,Dolphins,Tommy Vigorito 31 yard pass from David Woodley (Uwe von Schamann kick),7,0
1,2.0,Dolphins,Andra Franklin 10 yard rush (Uwe von Schamann kick),14,0
2,2.0,Colts,Curtis Dickey 32 yard pass from Bert Jones (Mike Wood kick),14,7
3,3.0,Colts,Ray Butler 19 yard pass from Bert Jones (Mike Wood kick),14,14
4,3.0,Dolphins,Nick Giaquinto 14 yard pass from David Woodley (Uwe von Schamann kick),21,14
5,3.0,Colts,Ray Butler 67 yard pass from Bert Jones (Mike Wood kick),21,21
6,4.0,Dolphins,Andra Franklin 1 yard rush (Uwe von Schamann kick),28,21
7,4.0,Colts,Curtis Dickey 1 yard rush (Mike Wood kick),28,28
8,4.0,Dolphins,Uwe von Schamann 27 yard field goal,31,28
