,Quarter,Tm,Detail,MIN,RAM
0,1.0,Vikings,Chuck Foreman 5 yard rush (Fred Cox kick),7,0
1,4.0,Vikings,Sammy Johnson 1 yard rush (Fred Cox kick),14,0
2,4.0,Rams,Harold Jackson 1 yard pass from Pat Haden (Rafael Septien kick),14,7
