,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Aundra Thompson 23 yard pass from David Whitehurst (Tom Birney kick),0,7
1,2.0,Packers,Mike Butler 70 yard defensive fumble return,0,13
2,4.0,Packers,Terdell Middleton 5 yard pass from David Whitehurst,0,19
3,4.0,Vikings,Bob Tucker 3 yard pass from Tommy Kramer (Rick Danmeier kick),7,19
