,Quarter,Time,Tm,Detail,NYJ,GNB
0,1.0,,Packers,Robert Brooks 11 yard pass from Brett Favre (Chris Jacke kick),0,7
1,2.0,,Jets,Nick Lowery 20 yard field goal,3,7
2,2.0,,Jets,Rob Moore 11 yard pass from Boomer Esiason (Nick Lowery kick),10,7
3,3.0,,Packers,Anthony Morgan 17 yard pass from Brett Favre (Chris Jacke kick),10,14
4,4.0,,Packers,Chris Jacke 46 yard field goal,10,17
