,Quarter,Time,Tm,Detail,PIT,SEA
0,1.0,,Seahawks,Chris Warren 3 yard rush (John Kasay kick),0,7
1,1.0,,Steelers,Gary Anderson 31 yard field goal,3,7
2,2.0,,Seahawks,John Kasay 31 yard field goal,3,10
3,2.0,,Seahawks,Trey Junkin 1 yard pass from Rick Mirer (John Kasay kick),3,17
4,2.0,,Seahawks,John Kasay 40 yard field goal,3,20
5,2.0,,Steelers,Gary Anderson 38 yard field goal,6,20
6,4.0,,Seahawks,Orlando Watters 35 yard interception return (John Kasay kick),6,27
7,4.0,,Steelers,Charles Johnson 36 yard pass from Neil O'Donnell (Gary Anderson kick),13,27
8,4.0,,Seahawks,John Kasay 31 yard field goal,13,30
