,Quarter,Time,Tm,Detail,ARI,NYG
0,2.0,,Giants,Brad Daluiso 33 yard field goal,0,3
1,2.0,,Giants,Amani Toomer 56 yard pass from Danny Kanell (Brad Daluiso kick),0,10
2,3.0,,Cardinals,Frank Sanders 70 yard pass from Jake Plummer (Joe Nedney kick),7,10
3,3.0,,Cardinals,Joe Nedney 34 yard field goal,10,10
4,4.0,,Giants,Howard Cross 1 yard pass from Danny Kanell,10,16
5,4.0,,Giants,Brad Daluiso 35 yard field goal,10,19
