,Quarter,Tm,Detail,CIN,BUF
0,1.0,Bills,Scott Norwood 24 yard field goal,0,3
1,2.0,Bills,Andre Reed 19 yard pass from Jim Kelly (Scott Norwood kick),0,10
2,3.0,Bills,Ronnie Harmon 42 yard pass from Jim Kelly (Scott Norwood kick),0,17
3,3.0,Bengals,Stanford Jennings 5 yard rush (Jim Breech kick),7,17
4,4.0,Bills,Butch Rolle 1 yard pass from Jim Kelly (Scott Norwood kick),7,24
