,Quarter,Tm,Detail,CHI,DTX
0,2.0,Bears,"Safety, Young tackled in end zone by Kindt",2,0
1,2.0,Texans,Zollie Toth 2 yard rush,2,6
2,2.0,Texans,Dick Wilkins 20 yard pass from George Taliaferro (Pat Cannamela kick),2,13
3,3.0,Texans,Frank Tripucka 1 yard rush (Pat Cannamela kick),2,20
4,4.0,Bears,Billy Stone 1 yard rush (George Blanda kick),9,20
5,4.0,Bears,Babe Dimancheff 41 yard pass from George Blanda (George Blanda kick),16,20
6,4.0,Bears,Gene Schroeder 35 yard pass from George Blanda (George Blanda kick),23,20
7,4.0,Texans,Frank Tripucka 1 yard rush (Pat Cannamela kick),23,27
