,Quarter,Tm,Detail,STL,PIT
0,1.0,Cardinals,Jim Bakken 18 yard field goal,3,0
1,1.0,Cardinals,Jim Bakken 24 yard field goal,6,0
2,1.0,Cardinals,Jim Hart 23 yard rush (Jim Bakken kick),13,0
3,2.0,Cardinals,Jim Bakken 33 yard field goal,16,0
4,2.0,Steelers,Chet Anderson 5 yard pass from Bill Nelsen (Mike Clark kick),16,7
5,2.0,Cardinals,Jim Bakken 29 yard field goal,19,7
6,3.0,Steelers,Willie Asbury 1 yard rush (Mike Clark kick),19,14
7,4.0,Cardinals,Jim Bakken 24 yard field goal,22,14
8,4.0,Cardinals,Jim Bakken 32 yard field goal,25,14
9,4.0,Cardinals,Jim Bakken 23 yard field goal,28,14
