,Quarter,Tm,Detail,PRV,NYG
0,1,Giants,Mule Wilson 54 yard interception return (Jack McBride kick),0,7
1,2,Giants,Jack Hagerty 39 yard pass from Jack McBride,0,13
2,3,Giants,Jack Hagerty 53 yard punt return,0,19
3,4,Giants,Hinkey Haines 9 yard pass from Jack McBride,0,25
