,Quarter,Time,Tm,Detail,OAK,CLE
0,1.0,9:54,Browns,Billy Cundiff 52 yard field goal,0,3
1,1.0,2:28,Browns,Billy Cundiff 33 yard field goal,0,6
2,2.0,5:46,Browns,Billy Cundiff 26 yard field goal,0,9
3,2.0,1:50,Raiders,Sebastian Janikowski 46 yard field goal,3,9
4,2.0,0:00,Raiders,Sebastian Janikowski 38 yard field goal,6,9
5,4.0,14:17,Browns,Andrew Hawkins 4 yard pass from Brian Hoyer (Billy Cundiff kick),6,16
6,4.0,2:26,Browns,Ben Tate 5 yard rush (Billy Cundiff kick),6,23
7,4.0,0:07,Raiders,Andre Holmes 10 yard pass from Derek Carr (Sebastian Janikowski kick),13,23
