,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Lee Bouggess 7 yard pass from Norm Snead (Mark Moseley kick),0,7
1,2.0,Redskins,Curt Knight 26 yard field goal,3,7
2,2.0,Redskins,Jerry Smith 26 yard pass from Sonny Jurgensen (Curt Knight kick),10,7
3,2.0,Redskins,Curt Knight 44 yard field goal,13,7
4,3.0,Redskins,Curt Knight 12 yard field goal,16,7
5,3.0,Redskins,Curt Knight 22 yard field goal,19,7
6,4.0,Eagles,Cyril Pinder 40 yard rush (Mark Moseley kick),19,14
7,4.0,Redskins,Larry Brown 4 yard rush (Curt Knight kick),26,14
8,4.0,Redskins,Charley Taylor 10 yard pass from Sonny Jurgensen (Curt Knight kick),33,14
9,4.0,Eagles,Rick Arrington 1 yard rush (Mark Moseley kick),33,21
