,Quarter,Tm,Detail,SDG,PIT
0,1.0,Chargers,Dennis Partee 21 yard field goal,3,0
1,1.0,Steelers,John Fuqua 5 yard rush (Roy Gerela kick),3,7
2,2.0,Chargers,Billy Parks 16 yard pass from John Hadl (Dennis Partee kick),10,7
3,3.0,Steelers,John Fuqua 1 yard rush (Roy Gerela kick),10,14
4,3.0,Chargers,Mike Garrett 4 yard rush (Dennis Partee kick),17,14
5,4.0,Steelers,Terry Bradshaw 5 yard rush (Roy Gerela kick),17,21
