,Quarter,Time,Tm,Detail,JAX,ATL
0,1.0,8:41,Falcons,T.J. Duckett 2 yard rush (Jay Feely kick),0,7
1,1.0,3:41,Jaguars,Troy Edwards 15 yard pass from Byron Leftwich (Seth Marler kick),7,7
2,1.0,0:23,Falcons,Peerless Price 44 yard pass from Michael Vick (Jay Feely kick),7,14
3,2.0,0:07,Falcons,Justin Griffith 1 yard pass from Michael Vick (Jay Feely kick),7,21
4,3.0,2:59,Jaguars,LaBrandon Toefield 4 yard rush (Seth Marler kick),14,21
