,Quarter,Tm,Detail,STL,NYG
0,2.0,Cardinals,Willie West defensive fumble recovery in end zone (Gerry Perry kick),7,0
1,2.0,Giants,Pat Summerall 46 yard field goal,7,3
2,3.0,Giants,Larry Hayes special teams fumble recovery in end zone (Pat Summerall kick),7,10
3,4.0,Cardinals,Mal Hammack 28 yard rush (Gerry Perry kick),14,10
4,4.0,Cardinals,Frank Mestnik 5 yard pass from Sam Etcheverry (Gerry Perry kick),21,10
