,Quarter,Time,Tm,Detail,OAK,NWE
0,2,12:14,Raiders,James Jett 13 yard pass from Rich Gannon (Sebastian Janikowski kick),7,0
1,3,8:39,Patriots,Adam Vinatieri 23 yard field goal,7,3
2,3,4:14,Raiders,Sebastian Janikowski 38 yard field goal,10,3
3,3,1:41,Raiders,Sebastian Janikowski 45 yard field goal,13,3
4,4,7:52,Patriots,Tom Brady 6 yard rush (Adam Vinatieri kick),13,10
5,4,0:27,Patriots,Adam Vinatieri 45 yard field goal,13,13
6,OT,6:31,Patriots,Adam Vinatieri 23 yard field goal,13,16
