,Quarter,Tm,Detail,SEA,ATL
0,1.0,Falcons,Greg Davis 32 yard field goal,0,3
1,1.0,Seahawks,Curt Warner 12 yard rush (Norm Johnson kick),7,3
2,2.0,Seahawks,John Williams 1 yard rush (Norm Johnson kick),14,3
3,2.0,Seahawks,Norm Johnson 44 yard field goal,17,3
4,3.0,Falcons,Greg Davis 31 yard field goal,17,6
5,3.0,Falcons,Stacey Bailey 45 yard pass from Steve Dils (Greg Davis kick),17,13
6,3.0,Seahawks,John Williams 1 yard rush (Norm Johnson kick),24,13
7,4.0,Falcons,Steve Dils 1 yard rush (Greg Davis kick),24,20
8,4.0,Seahawks,John Williams 1 yard rush (Norm Johnson kick),31,20
