,Quarter,Time,Tm,Detail,STL,CAR
0,1.0,,Rams,Zach Wiegert offensive fumble recovery in end zone (Jeff Wilkins kick),7,0
1,1.0,,Rams,Jeff Wilkins 49 yard field goal,10,0
2,2.0,,Rams,Jeff Wilkins 42 yard field goal,13,0
3,2.0,,Rams,Jeff Wilkins 47 yard field goal,16,0
4,3.0,,Rams,David Thompson 7 yard rush (Jeff Wilkins kick),23,0
5,3.0,,Panthers,Rae Carruth 35 yard pass from Kerry Collins (Muhsin Muhammad pass from Kerry Collins),23,8
6,4.0,,Rams,Ernie Conwell 1 yard pass from Tony Banks (Jeff Wilkins kick),30,8
7,4.0,,Panthers,Ernie Mills 2 yard pass from Steve Beuerlein (Anthony Johnson run),30,16
8,4.0,,Panthers,"Safety, Horan stepped out of end zone",30,18
