,Quarter,Time,Tm,Detail,ARI,MIN
0,1.0,6:42,Vikings,Robert Smith 33 yard pass from Daunte Culpepper (Gary Anderson kick),0,7
1,1.0,0:13,Cardinals,Michael Pittman 1 yard rush (Cary Blanchard kick),7,7
2,2.0,0:00,Vikings,Gary Anderson 33 yard field goal,7,10
3,3.0,10:15,Vikings,Randy Moss 4 yard pass from Daunte Culpepper (Gary Anderson kick),7,17
4,4.0,10:11,Vikings,Daunte Culpepper 3 yard rush (Gary Anderson kick),7,24
5,4.0,3:45,Vikings,Cris Carter 12 yard pass from Daunte Culpepper (Gary Anderson kick),7,31
6,4.0,3:30,Cardinals,MarTay Jenkins 98 yard kickoff return (Cary Blanchard kick),14,31
