,Quarter,Tm,Detail,SFO,RAM
0,1.0,Rams,Ben Agajanian 25 yard field goal,0,3
1,2.0,49ers,Billy Wilson 7 yard pass from Y.A. Tittle (Gordie Soltau kick),7,3
2,2.0,49ers,Joe Perry 60 yard pass from Y.A. Tittle (Gordie Soltau kick),14,3
3,2.0,Rams,Elroy Hirsch 1 yard pass from Norm Van Brocklin (Ben Agajanian kick),14,10
4,2.0,Rams,Ben Agajanian 18 yard field goal,14,13
5,2.0,49ers,Gordie Soltau 14 yard field goal,17,13
6,3.0,Rams,Dan Towler 2 yard rush (Ben Agajanian kick),17,20
7,3.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),24,20
8,4.0,Rams,Tank Younger 39 yard rush (Ben Agajanian kick),24,27
9,4.0,49ers,Gordie Soltau 17 yard pass from Y.A. Tittle (Gordie Soltau kick),31,27
