,Quarter,Time,Tm,Detail,PHI,MIA
0,1.0,13:49,Eagles,Brian Westbrook 21 yard rush (David Akers kick),7,0
1,1.0,5:49,Dolphins,Jay Fiedler 1 yard rush (Olindo Mare kick),7,7
2,1.0,1:53,Eagles,Donovan McNabb 1 yard rush (David Akers kick),14,7
3,2.0,14:55,Dolphins,Travis Minor 2 yard rush (Olindo Mare kick),14,14
4,2.0,11:08,Eagles,Brian Westbrook 25 yard pass from Freddie Mitchell (David Akers kick),21,14
5,2.0,2:50,Eagles,David Akers 46 yard field goal,24,14
6,2.0,0:26,Dolphins,Olindo Mare 27 yard field goal,24,17
7,3.0,9:44,Dolphins,Ricky Williams 3 yard rush (Olindo Mare kick),24,24
8,4.0,14:53,Eagles,Correll Buckhalter 2 yard rush (David Akers kick),31,24
9,4.0,2:00,Eagles,David Akers 42 yard field goal,34,24
10,4.0,0:14,Dolphins,Olindo Mare 50 yard field goal,34,27
