,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,,Saints,Morten Andersen 45 yard field goal,3,0
1,2.0,,Falcons,Craig Heyward 9 yard rush (Norm Johnson kick),3,7
2,2.0,,Saints,Michael Haynes 78 yard pass from Jim Everett (Morten Andersen kick),10,7
3,2.0,,Falcons,Andre Rison 1 yard pass from Jeff George (Norm Johnson kick),10,14
4,2.0,,Saints,Morten Andersen 33 yard field goal,13,14
5,3.0,,Saints,Morten Andersen 31 yard field goal,16,14
6,3.0,,Falcons,Norm Johnson 42 yard field goal,16,17
7,4.0,,Saints,Morten Andersen 34 yard field goal,19,17
8,4.0,,Saints,Quinn Early 5 yard pass from Jim Everett (Morten Andersen kick),26,17
9,4.0,,Falcons,Norm Johnson 21 yard field goal,26,20
10,4.0,,Saints,Morten Andersen 35 yard field goal,29,20
