,Quarter,Time,Tm,Detail,JAX,PIT
0,1.0,4:10,Steelers,Hines Ward 32 yard pass from Kordell Stewart (Kris Brown kick),0,7
1,2.0,9:16,Jaguars,Fred Taylor 25 yard rush (Mike Hollis kick),7,7
2,2.0,5:49,Steelers,Kris Brown 40 yard field goal,7,10
3,2.0,1:20,Jaguars,Fred Taylor 16 yard pass from Mark Brunell (Mike Hollis kick),14,10
4,2.0,0:04,Jaguars,Mike Hollis 36 yard field goal,17,10
5,3.0,8:49,Jaguars,Mike Hollis 33 yard field goal,20,10
6,3.0,8:04,Jaguars,Fred Taylor 2 yard rush (Mike Hollis kick),27,10
7,3.0,3:27,Jaguars,Fred Taylor 26 yard rush (Mike Hollis kick),34,10
8,4.0,14:55,Steelers,Kordell Stewart 2 yard rush (pass failed),34,16
9,4.0,7:42,Steelers,Kordell Stewart 45 yard rush (two point pass successful),34,24
