,Quarter,Time,Tm,Detail,SEA,IND
0,1.0,6:09,Colts,Donald Brown 1 yard rush (Adam Vinatieri kick),0,7
1,2.0,5:29,Colts,Reggie Wayne 5 yard pass from Peyton Manning (Adam Vinatieri kick),0,14
2,2.0,1:22,Seahawks,Olindo Mare 38 yard field goal,3,14
3,2.0,0:03,Colts,Austin Collie 21 yard pass from Peyton Manning (Adam Vinatieri kick),3,21
4,3.0,8:02,Colts,Joseph Addai 12 yard rush (Adam Vinatieri kick),3,28
5,4.0,8:50,Colts,Adam Vinatieri 37 yard field goal,3,31
6,4.0,6:58,Colts,Adam Vinatieri 19 yard field goal,3,34
7,4.0,2:59,Seahawks,Seneca Wallace 7 yard rush (Olindo Mare kick),10,34
8,4.0,0:19,Seahawks,Owen Schmitt 1 yard pass from Seneca Wallace (Olindo Mare kick),17,34
